路線名,起点,終点,営業km,乗車km,未乗km,post_add,乗車区間,区間km
湖西線,山科,近江塩津,74.1,74.1,0,,山科→近江塩津,74.1
大阪環状線,天王寺,新今宮,20.7,20.7,0,,天王寺→福島,11.7
大阪環状線,,,,0,0,,福島→新今宮,9
桜島線,西九条,桜島,4.1,4.1,0,,西九条→桜島,4.1
JR東西線,京橋,尼崎,12.5,12.5,0,,京橋→尼崎,12.5
福知山線,尼崎,福知山,106.5,106.5,0,,尼崎←福知山,106.5
北陸線,米原,敦賀,45.9,45.9,0,,米原→近江塩津,31.4
北陸線,,,,0,0,,近江塩津→敦賀,14.5
小浜線,敦賀,東舞鶴,84.3,84.3,0,,敦賀→東舞鶴,84.3
越美北線,越前花堂,九頭竜湖,52.5,0,52.5,post_add,未乗,
七尾線,津幡,和倉温泉,59.5,0,59.5,post_add,未乗,
城端線,高岡,城端,29.9,0,29.9,post_add,未乗,
氷見線,高岡,氷見,16.5,16.5,0,,高岡→氷見,16.5
高山線,猪谷,富山,36.6,36.6,0,,猪谷→富山,36.6
大糸線,南小谷,糸魚川,35.3,35.3,0,,南小谷←糸魚川,35.3
山陽線,神戸,下関,528.1,528.1,0,,神戸→倉敷,159.3
山陽線,,,,0,0,,倉敷←下関,368.8
山陽線,兵庫,和田岬,2.7,2.7,0,,兵庫→和田岬,2.7
山陽新幹線,新大阪,博多,644,644,0,,新大阪→博多,644
加古川線,加古川,谷川,48.5,48.5,0,,加古川→谷川,48.5
播但線,姫路,和田山,65.7,65.7,0,,姫路→和田山,65.7
姫新線,姫路,新見,158.1,158.1,0,,姫路→津山,86.3
姫新線,,,,0,0,,津山→新見,71.8
赤穂線,相生,東岡山,57.4,57.4,0,,相生←東岡山,57.4
津山線,岡山,津山,58.7,58.7,0,,岡山←津山,58.7
吉備線,岡山,総社,20.4,0,20.4,post_add,未乗,
宇野線,岡山,宇野,32.8,14.9,17.9,post_add,岡山→茶屋町,14.9
本四備讃線,茶屋町,児島,12.9,12.9,0,,茶屋町→児島,12.9
伯備線,倉敷,伯耆大山,138.4,138.4,0,,倉敷→伯耆大山,138.4
芸備線,備中神代,広島,159.1,159.1,0,,備中神代→広島,159.1
福塩線,福山,塩町,78,78,0,,福山←塩町,78
呉線,三原,海田市,87,87,0,,三原←海田市,87
可部線,横川,あき亀山,15.6,0,15.6,post_add,未乗,
岩徳線,岩国,櫛ヶ浜,43.7,43.7,0,,岩国←櫛ヶ浜,43.7
山口線,新山口,益田,93.9,93.9,0,,新山口←益田,93.9
宇部線,新山口,宇部,33.2,0,33.2,post_add,未乗,
小野田線,居能,小野田,11.6,0,11.6,post_add,未乗,
小野田線,雀田,長門本山,2.3,0,2.3,post_add,未乗,
美祢線,厚狭,長門市,46,0,46,post_add,未乗,
山陰線,京都,幡生,673.8,673.8,0,,京都→城崎温泉,158
山陰線,,,,0,0,,城崎温泉→鳥取,72.3
山陰線,,,,0,0,,鳥取→倉吉,39.8
山陰線,,,,0,0,,倉吉→伯耆大山,48.1
山陰線,,,,0,0,,伯耆大山→出雲市,66.4
山陰線,,,,0,0,,出雲市→益田,129.9
山陰線,,,,0,0,,益田→幡生,159.3
山陰線,長門市,仙崎,2.2,2.2,0,,長門市→仙崎,2.2
舞鶴線,綾部,東舞鶴,26.4,26.4,0,,綾部→東舞鶴,26.4
因美線,鳥取,東津山,70.8,70.8,0,,鳥取←智頭,31.9
因美線,,,,0,0,,智頭→東津山,38.9
境線,米子,境港,17.9,17.9,0,,米子→境港,17.9
木次線,宍道,備後落合,81.9,81.9,0,,宍道→備後落合,81.9
関西線,亀山,JR難波,115,115,0,,亀山→加茂,61
関西線,,,,0,0,,加茂→木津,6
関西線,,,,0,0,,木津→奈良,7
関西線,,,,0,0,,奈良←久宝寺,30.4
関西線,,,,0,0,,久宝寺→天王寺,7.1
関西線,,,,0,0,,天王寺←新今宮,1
関西線,,,,0,0,,新今宮→JR難波,2.5
草津線,柘植,草津,36.7,36.7,0,,柘植←草津,36.7
奈良線,京都,木津,34.7,34.7,0,,京都→木津,34.7
桜井線,奈良,高田,29.4,29.4,0,,奈良→高田,29.4
片町線,木津,京橋,44.8,44.8,0,,木津→放出,41.6
片町線,,,,0,0,,放出→京橋,3.2
おおさか東線,新大阪,久宝寺,20.2,20.2,0,,新大阪←放出,11
おおさか東線,,,,0,0,,放出→久宝寺,9.2
和歌山線,王寺,和歌山,87.5,87.5,0,,王寺←高田,11.5
和歌山線,,,,0,0,,高田→和歌山,76
阪和線,天王寺,和歌山,61.3,61.3,0,,天王寺→和歌山,61.3
阪和線,鳳,東羽衣,1.7,1.7,0,,鳳←東羽衣,1.7
関西空港線,日根野,関西空港,11.1,11.1,0,,日根野→関西空港,11.1
紀勢線,新宮,和歌山市,204,204,0,,新宮→紀伊勝浦,14.9
紀勢線,,,,0,0,,紀伊勝浦→白浜,80.3
紀勢線,,,,0,0,,白浜←和歌山,105.5
紀勢線,,,,0,0,,和歌山←和歌山市,3.3
北陸新幹線,上越妙高,敦賀,293.7,293.7,0,,上越妙高→敦賀,293.7
博多南線,博多,博多南,8.5,0,8.5,post_add,未乗,
予讃線,高松,宇和島,297.6,32.7,264.9,post_add,高松←宇多津,25.9
予讃線,,,,0,0,,宇多津→多度津,6.8
予讃線,向井原,内子,23.5,0,23.5,post_add,未乗,
予讃線,新谷,伊予大洲,5.9,0,5.9,post_add,未乗,
本四備讃線,児島,宇多津,18.1,18.1,0,,児島→宇多津,18.1
内子線,内子,新谷,5.3,0,5.3,post_add,未乗,
予土線,若井,北宇和島,76.3,0,76.3,post_add,未乗,
高徳線,高松,徳島,74.5,74.5,0,,高松→徳島,74.5
鳴門線,池谷,鳴門,8.5,0,8.5,post_add,未乗,
徳島線,佃,佐古,67.5,67.5,0,,佃→佐古,67.5
牟岐線,徳島,阿波海南,77.8,0,77.8,post_add,未乗,
土讃線,多度津,窪川,198.7,198.7,0,,多度津→高知,126.6
土讃線,,,,0,0,,高知→窪川,72.1
山陽線,下関,門司,6.3,6.3,0,,下関←門司,6.3
鹿児島線,門司港,八代,232.3,226.8,5.5,post_add,門司←博多,72.7
鹿児島線,,,,0,0,,博多→久留米,35.7
鹿児島線,,,,0,0,,久留米←上熊本,79.4
鹿児島線,,,,0,0,,上熊本←熊本,3.3
鹿児島線,,,,0,0,,熊本←八代,35.7
鹿児島線,川内,鹿児島,49.3,49.3,0,,川内←鹿児島中央,46.1
(川内以南),,,,0,0,,鹿児島中央←鹿児島,3.2
九州新幹線,博多,鹿児島中央,288.9,288.9,0,,博多→鹿児島中央,288.9
香椎線,西戸崎,宇美,25.4,0,25.4,post_add,未乗,
篠栗線,桂川,吉塚,25.1,0,25.1,post_add,未乗,
三角線,宇土,三角,25.6,0,25.6,post_add,未乗,
肥薩線,八代,隼人,124.2,0,124.2,post_add,未乗,
指宿枕崎線,鹿児島中央,枕崎,87.8,87.8,0,,鹿児島中央←枕崎,87.8
長崎線,鳥栖,長崎,125.3,39.6,85.7,post_add,鳥栖←江北,39.6
長崎線,喜々津,浦上,23.5,0,23.5,post_add,未乗,
西九州線,武雄温泉,長崎,69.6,0,69.6,post_add,未乗,
唐津線,久保田,西唐津,42.5,42.5,0,,久保田←西唐津,42.5
筑肥線,姪浜,唐津,42.6,42.6,0,,姪浜←唐津,42.6
筑肥線,山本,伊万里,25.7,25.7,0,,山本→伊万里,25.7
佐世保線,江北,佐世保,48.8,48.8,0,,江北←有田,28.2
佐世保線,,,,0,0,,有田→佐世保,20.6
大村線,早岐,諫早,47.6,0,47.6,post_add,未乗,
久大線,久留米,大分,141.5,141.5,0,,久留米→由布院,99.1
久大線,,,,0,0,,由布院→大分,42.4
豊肥線,大分,熊本,148,148,0,,大分→熊本,148
日豊線,小倉,鹿児島,462.6,462.6,0,,小倉→別府,120.8
日豊線,,,,0,0,,別府→宮崎,219.1
日豊線,,,,0,0,,宮崎→鹿児島,122.7
日田彦山線,城野,添田,39.5,0,39.5,post_add,未乗,
日南線,南宮崎,志布志,88.9,88.9,0,,南宮崎←志布志,88.9
宮崎空港線,田吉,宮崎空港,1.4,0,1.4,post_add,未乗,
吉都線,都城,吉松,61.6,0,61.6,post_add,未乗,
筑豊線,若松,原田,66.1,55.3,10.8,post_add,折尾←原田,55.3
後藤寺線,田川後藤寺,新飯塚,13.3,0,13.3,post_add,未乗,
