鉄道会社,路線名,起点,終点,営業km,乗車km,未乗km,post_add,乗車区間,区間km
南海電気鉄道,高師浜線,羽衣,高師浜,1.5,0,1.5,post_add,未乗,
京浜急行電鉄,空港線,泉佐野,関西空港,8.8,0,8.8,post_add,未乗,
南海電気鉄道,多奈川線,みさき公園,多奈川,2.6,0,2.6,post_add,未乗,
南海電気鉄道,加太線,紀ノ川,加太,9.6,9.6,0,,紀ノ川→加太,9.6
南海電気鉄道,和歌山港線,和歌山市,和歌山港,2.8,0,2.8,post_add,未乗,
南海電気鉄道,高野線,汐見橋,極楽橋,64.5,14.6,49.9,post_add,百舌鳥八幡→河内長野,14.6
南海電気鉄道,鋼索線,極楽橋,高野山,0.8,0,0.8,post_add,未乗,
南海電気鉄道,泉北線,中百舌鳥,和泉中央,14.3,14.3,0,,中百舌鳥→和泉中央,14.3
京阪電気鉄道,交野線,枚方市,私市,6.9,0,6.9,post_add,未乗,
京阪電気鉄道,京阪本線,淀屋橋,三条,49.3,41.3,8,post_add,淀屋橋→丹波橋,41.3
京阪電気鉄道,中之島線,中之島,天満橋,3,0,3,post_add,未乗,
京阪電気鉄道,宇治線,中書島,宇治,7.6,0,7.6,post_add,未乗,
京阪電気鉄道,鴨東線,三条,出町柳,2.3,0,2.3,post_add,未乗,
南海電気鉄道,鋼索線,ケーブル八幡宮口,ケーブル八幡宮山上,0.4,0,0.4,post_add,未乗,
京阪電気鉄道,京津線,御陵,びわ湖浜大津,7.5,0,7.5,post_add,未乗,
京阪電気鉄道,石山坂本線,石山寺,坂本比叡山口,14.1,0,14.1,post_add,未乗,
阪急電鉄,京都本線,十三,京都河原町,45.3,0,45.3,post_add,未乗,
阪急電鉄,千里線,天神橋筋六丁目,北千里,13.6,0,13.6,post_add,未乗,
阪急電鉄,嵐山線,桂,嵐山,4.1,0,4.1,post_add,未乗,
阪急電鉄,神戸本線,大阪梅田,神戸三宮,32.3,0,32.3,post_add,未乗,
阪急電鉄,今津線,宝塚,今津,9.3,0,9.3,post_add,未乗,
阪急電鉄,伊丹線,塚口,伊丹,3.1,0,3.1,post_add,未乗,
阪急電鉄,甲陽線,夙川,甲陽園,2.2,0,2.2,post_add,未乗,
阪急電鉄,宝塚本線,大阪梅田,宝塚,24.5,17.2,7.3,post_add,大阪梅田→川西能勢口,17.2
阪急電鉄,箕面線,石橋阪大前,箕面,4,0,4,post_add,未乗,
阪急電鉄,神戸高速線,神戸三宮,新開地,2.8,0,2.8,post_add,未乗,
京成電鉄,本線,大阪梅田,元町,32.1,0,32.1,post_add,未乗,
阪神電気鉄道,阪神なんば線,尼崎,大阪難波,10.1,0,10.1,post_add,未乗,
阪神電気鉄道,武庫川線,武庫川,武庫川団地前,1.7,0,1.7,post_add,未乗,
阪急電鉄,神戸高速線,元町,西代,5,0,5,post_add,未乗,
西日本鉄道,天神大牟田線,西鉄福岡（天神）,大牟田,74.8,0,74.8,post_add,未乗,
西日本鉄道,太宰府線,西鉄二日市,太宰府,2.4,0,2.4,post_add,未乗,
西日本鉄道,貝塚線,貝塚,西鉄新宮,11,0,11,post_add,未乗,
西日本鉄道,甘木線,宮の陣,甘木,17.9,0,17.9,post_add,未乗,
東京地下鉄,南北線,江坂,箕面萱野,8.4,0,8.4,post_add,未乗,
京成電鉄,本線,西代,山陽姫路,54.7,0,54.7,post_add,未乗,
山陽電気鉄道,網干線,飾磨,山陽網干,8.5,0,8.5,post_add,未乗,
東京地下鉄,南北線,麻生,真駒内,14.3,0,14.3,post_add,未乗,
東京地下鉄,東西線,宮の沢,新さっぽろ,20.1,0,20.1,post_add,未乗,
札幌市交通局,東豊線,栄町,福住,13.6,0,13.6,post_add,未乗,
京成電鉄,本線,函館どつく前,函館駅前,2.9,0,2.9,post_add,未乗,
函館市企業局交通部,宝来・谷地頭線,十字街,谷地頭,1.4,0,1.4,post_add,未乗,
函館市企業局交通部,大森線,松風町,函館駅前,0.5,0,0.5,post_add,未乗,
函館市企業局交通部,湯の川線,松風町,湯の川,6.1,0,6.1,post_add,未乗,
東京地下鉄,南北線,泉中央,富沢,14.8,0,14.8,post_add,未乗,
